店舗名,エリア,住所1,住所2,電話番号,GoogleマップURL
お魚と日本酒七代目なお,大阪市北区,大阪市北区天神橋4-6-19,サンプラザ井上 1F,06-4397-4495,https://www.google.com/maps/search/お魚と日本酒七代目なお+大阪市北区天神橋4-6-19
日本酒とおつまみ chuin,大阪市西区,大阪市西区新町1-30-3,フェリーチェ新町 1F,080-7831-6462,https://www.google.com/maps/search/日本酒とおつまみ+chuin+大阪市西区新町1-30-3
木になる酒店Tane,京都府,京都府京都市下京区高材木町228番地,京阪ビル 3F,075-600-2033,https://www.google.com/maps/search/木になる酒店Tane+京都府京都市下京区高材木町228番地
らくだ坂納豆工房,大阪市中央区,大阪市中央区谷町4丁目8−29,,070-9029-1710,https://www.google.com/maps/search/らくだ坂納豆工房+大阪市中央区谷町４丁目８−２９
喜登,大阪市北区,大阪市北区南扇町2−3,木村ビル 2階,050-3749-7191,https://www.google.com/maps/search/喜登+大阪市北区南扇町２−３
嬉々 わらまさ,大阪市浪速区,大阪府大阪市浪速区難波中1-9-10,,06-6631-9000,https://www.google.com/maps/search/嬉々+わらまさ+大阪府大阪市浪速区難波中1-9-10
居酒屋 まさちゃん,大阪市浪速区,大阪市浪速区難波中1-11-11,,080-6844-7314,https://www.google.com/maps/search/居酒屋+まさちゃん+大阪市浪速区難波中1-11-11
二尺七輪 鳥玖,大阪市浪速区,大阪市浪速区元町1-2-22,,06-6644-5988,https://www.google.com/maps/search/二尺七輪 鳥玖+大阪市浪速区元町1-2-22
新大阪昼呑み酒場SAKEヤシマ,大阪市淀川区,大阪市淀川区西中島7-9-15,,06-7410-7961,https://www.google.com/maps/search/新大阪昼呑み酒場SAKEヤシマ+大阪市淀川区西中島7-9-15
燗の美穂,大阪市中央区,大阪市中央区安堂寺町2-2-14,,06-7222-2510,https://www.google.com/maps/search/燗の美穂+大阪市中央区安堂寺町2-2-14
旬菜 つむぎ,大阪市淀川区,大阪市淀川区西中島4-5-20,レクシア西中島2,06-6390-3099,https://www.google.com/maps/search/旬菜 つむぎ+大阪市淀川区西中島4-5-20
クロダルマ,大阪市中央区,大阪市中央区本町4-8-8,RHYTHM本町 1F,050-1353-5792,https://www.google.com/maps/search/クロダルマ+大阪市中央区本町4-8-8
呑食 心葉〜しんば〜,大阪市中央区,大阪市中央区宗右衛門町1-12,宗右衛門町セントラルビル 1F C号,06-6575-7127,https://www.google.com/maps/search/呑食 心葉〜しんば〜+大阪市中央区宗右衛門町1-12
bar雨,大阪市中央区,大阪市中央区難波1-5-20,中筋横丁 左奥,090-5255-0712,https://www.google.com/maps/search/bar雨+大阪市中央区難波1-5-20
リール食堂,大阪市北区,大阪市北区堂山町7−16,,06-6314-0603,https://www.google.com/maps/search/リール食堂+大阪市北区堂山町7−16
日本酒餐昧 うつつよ,大阪市中央区,大阪市中央区本町3-2-1,2F,06-6281-8322,https://www.google.com/maps/search/日本酒餐昧+ うつつよ+大阪市中央区本町3-2-1
Osake Sunny Osaka,大阪市中央区,大阪市中央区東心斎橋2-8-12,ゴールドセンター 2F,06-6212-5202,https://www.google.com/maps/search/Osake+Sunny+Osaka+大阪市中央区東心斎橋2-8-12
九条おばんざい 君と米,大阪市西区,大阪市西区千代崎1-27-8,,050-8881-7777,https://www.google.com/maps/search/九条おばんざい+君と米+大阪市西区千代崎1-27-8
味ごよみ淳平,堺市,大阪府堺市北瓦町2丁1−33,,072-222-5155,https://www.google.com/maps/search/味ごよみ淳平+大阪府堺市北瓦町2丁1−33
和み酒 日名田,大阪市中央区,大阪市中央区南船場3丁目9−6,1F,06-4708-7488,https://www.google.com/maps/search/和み酒+日名田+大阪市中央区南船場3丁目9−6
スタンドうつつよ,大阪市中央区,大阪市中央区鎗屋町1丁目1−12,,06-7777-5412,https://www.google.com/maps/search/スタンドうつつよ+大阪市中央区鎗屋町1丁目1−12
ブランニュー酒場 カツオとさくら,大阪市中央区,大阪市中央区南本町2丁目4−16,1,06-4256-3191,https://www.google.com/maps/search/ブランニュー酒場+カツオとさくら+大阪市中央区南本町2丁目4−16
厨まんげつ,大阪市北区,大阪市北区国分寺2丁目2−26,,090-7968-9140,https://www.google.com/maps/search/厨まんげつ+大阪市北区国分寺2丁目2−26
千喜千輝,大阪市福島区,大阪市福島区大開1丁目5−30,,06-6461-1110,https://www.google.com/maps/search/千喜千輝+大阪市福島区大開1丁目5−30
呑ん処 富士屋,大阪市西区,大阪市西区新町4丁目17−7,ストークマンション長堀,06-6575-9930,https://www.google.com/maps/search/呑ん処 富士屋+大阪市西区新町4丁目17−7
小料理 こず枝,大阪市中央区,大阪市中央区北久宝寺町1丁目5−6,堺筋本町アーバンライフ アーバンスクエア,070-8311-7257,https://www.google.com/maps/search/小料理 こず枝+大阪市中央区北久宝寺町1丁目5−6
九条ワイン食堂,大阪市西区,大阪市西区九条1丁目16−25,,06-6585-6858,https://www.google.com/maps/search/九条ワイン食堂+大阪市西区九条1丁目16−25
しゃかりきコロンブス,大阪市中央区,大阪市中央区北浜3丁目2−4,,050-5596-7243,https://www.google.com/maps/search/しゃかりきコロンブス+大阪市中央区北浜3丁目2−4
せと果,兵庫県,兵庫県神戸市中央区元町通3丁目15−11,,070-8595-0492,https://www.google.com/maps/search/せと果+兵庫県神戸市中央区元町通3丁目15−11
旬菜まさか,大阪市中央区,大阪府大阪市中央区宗右衛門町6−1,日宝サンロードビル １階奥,06-6210-4117,https://www.google.com/maps/search/旬菜まさか+大阪府大阪市中央区宗右衛門町６−１
酒盛りあいなる,大阪市西区,大阪府大阪市西区土佐堀2丁目3−23,板東ビル,06-6444-4177,https://www.google.com/maps/search/酒盛りあいなる+大阪府大阪市西区土佐堀２丁目３−２３
